WellID,AquiferID,Latitude,Longitude,Altitude,Screened,ScreenTopDepth,ScreenBottomDepth,Penetration,Diameter,Diameter_Flag,AquiferName,Confined,TopDepth,TopDepth_Flag,BottomDepth,BottomDepth_Flag,Kh,Kh_Flag,Ss,Ss_Flag,Porosity,Porosity_Flag,TotalInjection,ElapsedTime,InjectionRate,B,T,S,travelDistance,HydraulicGradient,DarcyFlow,maxDistance
W4249900393,A4249900393,32.944482,-95.424471,-999999,True,0,4062,Full,1.3333333333333333,Default,Nacatoch,True,1746,Measured,2205,Measured,4.98,Default,1e-06,Default,0.1,Default,1615618.8125191834,487.0,3317.492428170808,459,2285.82,0.000459,105.85144450064013,0.001,0.004980000000000001,0.530759253350643
W4249900395,A4249900395,32.941349,-95.42245,-999999,True,0,4082,Full,1.3333333333333333,Default,Nacatoch,True,1734,Measured,2192,Measured,4.98,Default,1e-06,Default,0.1,Default,2622796.458364476,456.0,5751.746619220342,458,2280.84,0.000458,135.01434599029855,0.001,0.004980000000000001,0.37512661981642836
W4249900340,A4249900340,32.915909,-95.51333000000001,-999999,True,0,4186,Full,1.3333333333333333,Default,Nacatoch,True,1505,Measured,1949,Measured,4.98,Default,1e-06,Default,0.1,Default,182625000.0,3652.5,50000.0,444,2211.120000000001,0.00044400000000000006,,0.001,0.004980000000000001,
W4249901166,A4249901166,32.906836,-95.305529,-999999,True,1948,2010,Partial,1.3333333333333333,Default,Nacatoch,True,1807,Measured,2248,Measured,4.98,Default,1e-06,Default,0.1,Default,6267873.79174109,487.0,12870.37739577226,441,2196.1800000000007,0.00044100000000000004,212.70026323330208,0.001,0.004980000000000001,0.2457005269653704
W4249900489,A4249900489,32.891006,-95.393772,-999999,True,0,6410,Full,1.3333333333333333,Default,Nacatoch,True,1788,Measured,2232,Measured,4.98,Default,1e-06,Default,0.1,Default,24591.875000292002,487.0,50.496663244952785,444,2211.120000000001,0.00044400000000000006,13.294626021976216,0.001,0.004980000000000001,8.972299205966992
W4249900514,A4249900514,32.885552000000004,-95.4066,-999999,True,809,6351,Full,1.3333333333333333,Default,Nacatoch,True,1745,Measured,2188,Measured,4.98,Default,1e-06,Default,0.1,Default,182625000.0,3652.5,50000.0,443,2206.140000000001,0.000443,,0.001,0.004980000000000001,
W4249900651,A4249900651,32.853578999999996,-95.461718,-999999,True,0,4166,Full,1.3333333333333333,Default,Nacatoch,True,1674,Measured,2109,Measured,4.98,Default,1e-06,Default,0.1,Default,182625000.0,3652.5,50000.0,435,2166.3,0.00043499999999999995,,0.001,0.004980000000000001,
W4249980326,A4249980326,32.852014000000004,-95.477412,-999999,True,0,0,NotScreened,1.3333333333333333,Default,Nacatoch,True,1714,Measured,2147,Measured,4.98,Default,1e-06,Default,0.1,Default,182625000.0,3652.5,50000.0,433,2156.34,0.000433,,0.001,0.004980000000000001,
W4249900682,A4249900682,32.846782,-95.485659,-999999,True,0,0,NotScreened,1.3333333333333333,Default,Nacatoch,True,1696,Measured,2128,Measured,4.98,Default,1e-06,Default,0.1,Default,182625000.0,3652.5,50000.0,432,2151.36,0.00043200000000000004,,0.001,0.004980000000000001,
W4249980617,A4249980617,32.844260999999996,-95.472001,-999999,True,0,4819,Full,1.3333333333333333,Default,Nacatoch,True,1703,Measured,2135,Measured,4.98,Default,1e-06,Default,0.1,Default,0.0,0.0,,432,2151.36,0.00043200000000000004,0.6666666666666666,0.001,0.004980000000000001,
W4249930202,A4249930202,32.8349,-95.464954,-999999,True,0,4119,Full,1.3333333333333333,Default,Nacatoch,True,1667,Measured,2095,Measured,4.98,Default,1e-06,Default,0.1,Default,2919.583333368,487.0,5.995037645519508,428,2131.44,0.00042800000000000005,4.707208819924826,0.001,0.004980000000000001,58.25947669941519
W4225700476,A4225700476,32.815855,-96.146962,-999999,True,0,9796,Full,1.3333333333333333,Default,Nacatoch,True,519,Measured,980,Measured,4.98,Default,1e-06,Default,0.1,Default,0.0,0.0,,461,2295.78,0.00046100000000000004,0.6666666666666666,0.001,0.004980000000000001,
W4249900159,A4249900159,32.806508,-95.513257,-999999,True,0,0,NotScreened,1.3333333333333333,Default,Nacatoch,True,1664,Measured,2083,Measured,4.98,Default,1e-06,Default,0.1,Default,182625000.0,3652.5,50000.0,419,2086.620000000001,0.00041900000000000005,,0.001,0.004980000000000001,
W4249900161,A4249900161,32.803563,-95.509372,-999999,True,0,8212,Full,1.3333333333333333,Default,Nacatoch,True,1691,Measured,2109,Measured,4.98,Default,1e-06,Default,0.1,Default,927815.5104276835,487.0,1905.165319153354,418,2081.640000000001,0.000418,84.0584543051866,0.001,0.004980000000000001,0.6930022267739802
W4249930749,A4249930749,32.774834000000006,-95.602753,-999999,True,0,0,NotScreened,1.3333333333333333,Default,Nacatoch,True,1770,Measured,2180,Measured,4.98,Default,1e-06,Default,0.1,Default,118995.4791680796,762.0,156.16204615233542,410,2041.8,0.00041,30.40204594315529,0.001,0.004980000000000001,4.8908710631391585
W4246780293,A4246780293,32.671929,-95.703664,-999999,True,940,3200,Full,1.3333333333333333,Default,Nacatoch,True,1657,Measured,2030,Measured,4.98,Default,1e-06,Default,0.1,Default,182625000.0,3652.5,50000.0,373,1857.54,0.000373,,0.001,0.004980000000000001,
W4246731131,A4246731131,32.671543,-95.701931,-999999,True,940,3200,Full,1.3333333333333333,Default,Nacatoch,True,1643,Measured,2015,Measured,4.98,Default,1e-06,Default,0.1,Default,182625000.0,3652.5,50000.0,372,1852.56,0.00037200000000000004,,0.001,0.004980000000000001,
W4246731019,A4246731019,32.670773,-95.699505,-999999,True,800,2500,Full,1.3333333333333333,Default,Nacatoch,True,1638,Measured,2010,Measured,4.98,Default,1e-06,Default,0.1,Default,182625000.0,3652.5,50000.0,372,1852.56,0.00037200000000000004,,0.001,0.004980000000000001,
W4246780292,A4246780292,32.670348,-95.702933,-999999,True,940,3200,Full,1.3333333333333333,Default,Nacatoch,True,1637,Measured,2009,Measured,4.98,Default,1e-06,Default,0.1,Default,182625000.0,3652.5,50000.0,372,1852.56,0.00037200000000000004,,0.001,0.004980000000000001,
W4246731158,A4246731158,32.670008,-95.699341,-999999,True,940,3200,Full,1.3333333333333333,Default,Nacatoch,True,1632,Measured,2004,Measured,4.98,Default,1e-06,Default,0.1,Default,182625000.0,3652.5,50000.0,372,1852.56,0.00037200000000000004,,0.001,0.004980000000000001,
W4234931000,A4234931000,32.15299,-96.299902,-999999,True,914,924,Partial,1.3333333333333333,Default,Nacatoch,True,905,Measured,1138,Measured,4.98,Default,1e-06,Default,0.1,Default,21728.437500257995,1095.0,19.843321918043827,233,1160.34,0.000233,17.241944242254185,0.001,0.004980000000000001,23.222506870896726
